Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Nissan,Murano,2.0,Diesel,2006,137337,9130
Nissan,Juke,2.0,Petrol,2005,94970,7592
Toyota,Yaris,1.2,Hybrid,1997,141278,3137
Nissan,Murano,1.4,Diesel,2020,22346,42717
Nissan,Murano,2.0,Petrol,2010,22461,24949
Nissan,Murano,2.0,Diesel,2005,128850,9134
Toyota,Matrix,1.0,Hybrid,1993,106144,3744
Nissan,Murano,1.6,Diesel,2014,39075,27799
Porsche,Cayenne,4.0,Petrol,2004,115480,17636
Ford,Puma,1.4,Diesel,1988,281248,558
Nissan,Juke,1.2,Petrol,1994,45636,3927
Nissan,Murano,1.4,Diesel,2000,173397,3803
Ford,Fiesta,1.2,Petrol,2011,79257,8742
Nissan,Altima,1.2,Petrol,1992,187070,1403
Nissan,Altima,2.0,Petrol,2019,20238,36928
Ford,Fiesta,1.0,Petrol,1993,241663,631
Nissan,Altima,1.6,Petrol,1992,164271,1968
BMW,X3,2.0,Petrol,1986,156135,1993
Nissan,Murano,1.6,Diesel,2014,73030,22397
Toyota,Yaris,1.2,Hybrid,2015,45121,20702
Ford,Fiesta,1.0,Petrol,2009,104692,5823
Toyota,Corolla,1.8,Hybrid,2001,219585,3920
Ford,Fiesta,1.0,Petrol,2009,69213,7476
Ford,Focus,1.4,Petrol,2018,21400,31301
Ford,Focus,1.4,Diesel,2003,109287,6795
BMW,Z4,3.0,Petrol,2020,22399,57463
Ford,Fiesta,1.0,Petrol,1993,215773,799
Porsche,Cayenne,2.6,Diesel,2013,48996,43131
Nissan,Murano,1.8,Petrol,2020,22206,46166
Ford,Puma,1.4,Hybrid,2020,16483,43686
Nissan,Murano,1.6,Diesel,2007,11607,20347
Ford,Focus,1.0,Petrol,2015,37307,19772
Ford,Puma,1.6,Diesel,1990,195620,1492
BMW,M5,4.4,Petrol,2007,92443,33727
Ford,Focus,1.0,Petrol,2003,143565,4187
Toyota,Yaris,1.2,Hybrid,2012,57288,15708
Ford,Puma,1.8,Diesel,2016,31609,30503
BMW,M5,5.0,Petrol,1999,109370,18631
BMW,M5,5.0,Petrol,1997,141269,12724
Ford,Focus,1.8,Petrol,2018,16691,36419
Ford,Fiesta,1.4,Petrol,2014,41295,14739
Nissan,Juke,1.4,Petrol,2010,126506,6995
Toyota,Corolla,2.2,Hybrid,2006,146194,11368
BMW,M5,4.0,Petrol,2020,20487,120914
Nissan,Juke,1.0,Petrol,2016,50616,15070
Toyota,Corolla,2.2,Hybrid,1988,113700,4419
Nissan,Juke,2.0,Petrol,2000,78108,6125
Nissan,Altima,1.6,Petrol,1994,126819,3046
Nissan,Altima,1.6,Petrol,2010,62235,14081
Nissan,Altima,1.6,Diesel,2005,87923,8898
Toyota,Corolla,1.8,Hybrid,2015,38640,40287
Porsche,718 Cayman,4.0,Petrol,2021,10710,91374
Toyota,Corolla,2.2,Petrol,1996,195065,3217
Ford,Fiesta,1.4,Diesel,1996,117002,2772
Nissan,Murano,1.4,Diesel,2017,50803,29566
Ford,Puma,1.8,Hybrid,2006,132268,8930
Ford,Puma,1.4,Diesel,2017,20286,30653
BMW,X3,2.4,Diesel,2006,142905,9693
Toyota,Matrix,1.4,Hybrid,1992,160731,2692
Nissan,Altima,2.0,Petrol,1992,218372,1374
Ford,Focus,1.8,Petrol,2008,107480,10381
Toyota,Yaris,1.0,Hybrid,1999,156999,2878
Porsche,Cayenne,3.0,Diesel,1985,323103,716
Ford,Fiesta,1.0,Petrol,1996,117534,2222
Nissan,Altima,1.8,Petrol,2011,114074,11071
Ford,Fiesta,1.0,Petrol,2020,19156,21105
Toyota,Corolla,2.0,Hybrid,2016,42344,44396
Ford,Focus,1.6,Petrol,2012,31036,21241
BMW,M5,4.0,Petrol,2013,53634,62326
Porsche,718 Cayman,2.4,Petrol,2022,4778,78024
Toyota,Corolla,2.4,Hybrid,2010,126381,18151
Ford,Fiesta,1.2,Petrol,2004,9500,8379
Ford,Puma,1.4,Petrol,2010,65387,13935
Porsche,911,3.0,Petrol,2000,173551,10901
Nissan,Altima,2.0,Diesel,2001,113031,6341
Ford,Puma,2.0,Diesel,1996,73194,6528
Porsche,Cayenne,3.0,Petrol,2014,67230,41961
Nissan,Altima,1.6,Diesel,2001,114913,5591
Nissan,Juke,1.2,Petrol,1996,237757,982
BMW,X3,3.0,Petrol,2017,23688,49045
Toyota,Matrix,1.8,Hybrid,1992,264369,1213
Toyota,Yaris,1.4,Petrol,2004,175542,3390
Ford,Fiesta,1.4,Petrol,1990,138259,1499
Porsche,718 Cayman,4.0,Petrol,1996,226205,3439
Nissan,Murano,1.4,Diesel,2019,48096,34356
Nissan,Altima,1.6,Hybrid,2012,13824,25735
Nissan,Altima,1.6,Hybrid,2017,31802,32495
Toyota,Corolla,2.4,Hybrid,2012,90291,27154
Nissan,Juke,2.0,Petrol,2004,144719,4849
BMW,X3,2.4,Diesel,1997,176117,4036
Toyota,Corolla,1.8,Hybrid,2013,57548,31370
Toyota,Yaris,1.2,Petrol,2013,55294,14171
Toyota,Corolla,2.2,Hybrid,1991,187888,2945
Porsche,Cayenne,3.5,Petrol,2015,65546,48989
Ford,Focus,1.0,Diesel,1994,164697,2027
Nissan,Altima,1.8,Petrol,2006,118800,7652
Toyota,Yaris,1.4,Hybrid,1987,132355,1868
Toyota,Corolla,1.8,Petrol,2015,67170,28057
Nissan,Juke,2.0,Diesel,1998,156577,3097
Nissan,Murano,2.0,Diesel,1993,188386,2506
Nissan,Juke,1.2,Petrol,1994,214861,1057
Nissan,Juke,1.0,Petrol,2003,125378,3740
Toyota,Corolla,2.4,Hybrid,2003,154661,9071
Ford,Focus,1.4,Petrol,2019,21650,33412
Nissan,Altima,1.8,Petrol,1998,73144,6242
Ford,Focus,1.6,Petrol,2019,28072,34453
Nissan,Murano,2.0,Diesel,2011,77163,19934
Ford,Focus,1.4,Petrol,1994,201200,1668
Toyota,Matrix,1.4,Hybrid,1992,211642,1733
Ford,Fiesta,1.2,Petrol,1991,260562,508
Toyota,Corolla,2.0,Hybrid,1999,147083,6748
Toyota,Matrix,1.0,Hybrid,2019,22098,36686
Nissan,Murano,2.0,Diesel,1984,259613,723
Nissan,Altima,1.8,Petrol,2011,103757,11959
Ford,Focus,1.4,Petrol,1993,118820,3091
Toyota,Yaris,1.0,Petrol,2019,30192,22465
Toyota,Corolla,1.8,Hybrid,1996,155416,4895
Porsche,Cayenne,4.0,Petrol,2018,18743,84840
Toyota,Yaris,1.0,Petrol,2008,63972,8765
Ford,Puma,1.8,Diesel,2020,10942,44646
Ford,Fiesta,1.2,Petrol,2002,156379,2665
Nissan,Murano,1.8,Diesel,2007,103162,12040
Ford,Focus,1.6,Diesel,1994,76127,5055
Ford,Puma,1.8,Hybrid,1996,141690,4253
Ford,Fiesta,1.0,Petrol,2012,53599,10105
Toyota,Corolla,2.0,Hybrid,2003,168965,7349
Ford,Puma,1.4,Diesel,1990,112455,2763
BMW,Z4,3.0,Petrol,2014,80975,26701
Toyota,Corolla,1.8,Hybrid,1993,198012,2786
Ford,Focus,1.6,Petrol,2002,156551,4456
BMW,M5,4.0,Petrol,1988,202507,3719
Toyota,Corolla,2.2,Hybrid,2006,15415,27884
Nissan,Altima,1.8,Diesel,2002,126132,5815
Ford,Fiesta,1.0,Petrol,2005,131976,3620
Nissan,Murano,1.6,Petrol,2017,39638,32228
Nissan,Juke,1.0,Petrol,2022,8891,28561
Ford,Fiesta,1.0,Petrol,2014,39631,12581
Ford,Fiesta,1.0,Petrol,1988,181217,775
Nissan,Juke,1.4,Petrol,2011,32243,14271
Ford,Fiesta,1.0,Petrol,2017,37944,15522
Nissan,Altima,2.0,Petrol,1998,167434,3197
Toyota,Matrix,1.4,Hybrid,2001,90961,8434
Ford,Puma,1.8,Diesel,2019,31367,37308
Ford,Fiesta,1.4,Petrol,2009,62595,9240
Porsche,Cayenne,3.0,Petrol,1993,191223,3941
Ford,Fiesta,1.0,Petrol,2018,39380,16451
BMW,Z4,2.4,Petrol,2017,53794,34921
BMW,Z4,2.0,Petrol,2006,150019,7575
Ford,Fiesta,1.2,Petrol,2014,71587,11250
Toyota,Yaris,1.4,Petrol,1995,183095,1743
Porsche,Cayenne,4.0,Petrol,2000,140773,11082
Ford,Fiesta,1.0,Petrol,2007,91680,5602
BMW,M5,4.0,Petrol,2010,91511,39540
Nissan,Altima,1.8,Petrol,1987,204856,1054
Ford,Focus,2.0,Diesel,2012,24046,25947
Ford,Puma,1.8,Petrol,1986,292983,472
Ford,Puma,2.0,Diesel,2018,24224,38316
Toyota,Matrix,1.8,Hybrid,2001,62159,11641
Nissan,Juke,1.2,Petrol,2008,121821,5877
Toyota,Corolla,2.0,Hybrid,2018,24630,56247
Ford,Focus,1.0,Diesel,2006,86728,8265
Nissan,Juke,1.6,Petrol,2021,15777,32584
Nissan,Altima,2.0,Diesel,2012,54773,19816
Nissan,Altima,1.2,Petrol,2014,51885,17010
Nissan,Altima,1.6,Hybrid,1986,235183,849
Toyota,Yaris,1.4,Hybrid,2019,27699,32355
Nissan,Altima,1.6,Petrol,1995,167036,2349
Ford,Fiesta,1.0,Petrol,2016,46160,13818
Toyota,Matrix,1.4,Hybrid,2008,88240,13713
Toyota,Yaris,1.0,Hybrid,1997,115976,3492
Toyota,Corolla,2.4,Hybrid,2010,83753,24885
Nissan,Murano,1.6,Diesel,1997,153059,3945
Toyota,Corolla,2.0,Hybrid,2018,11886,60296
Toyota,Yaris,1.4,Hybrid,2012,92229,13386
Toyota,Matrix,1.0,Hybrid,1994,194370,1950
Ford,Fiesta,1.4,Petrol,2017,33805,18819
Ford,Fiesta,1.0,Petrol,2015,60393,11818
BMW,M5,4.0,Petrol,2013,60471,59662
Toyota,Matrix,1.4,Hybrid,1996,195710,2605
Ford,Focus,1.6,Diesel,2018,43877,30835
Ford,Puma,1.6,Diesel,2019,9823,39610
Toyota,Corolla,2.0,Hybrid,2009,72748,22919
Nissan,Juke,1.4,Petrol,2017,34784,20977
Toyota,Matrix,1.0,Hybrid,2012,76949,16367
Nissan,Juke,1.0,Petrol,2009,119856,5822
Nissan,Murano,1.8,Diesel,2019,18133,46376
Toyota,Matrix,1.8,Hybrid,1993,218182,1981
Ford,Fiesta,1.4,Petrol,2007,153248,4122
Ford,Focus,2.0,Diesel,2005,108873,9309
BMW,X3,3.0,Petrol,2004,157445,8020
BMW,X3,2.4,Petrol,2004,54120,15381
Ford,Puma,2.0,Diesel,1998,73050,7466
Toyota,Yaris,1.4,Hybrid,2019,29313,32059
Nissan,Murano,1.8,Diesel,2015,47417,29963
Toyota,Corolla,2.0,Hybrid,2017,25184,52455
Porsche,911,2.6,Petrol,2005,136938,19156
Ford,Puma,1.8,Diesel,1993,190219,2027
BMW,Z4,2.0,Petrol,1995,255405,1439
Toyota,Matrix,1.4,Hybrid,1997,146775,4214
Ford,Focus,1.4,Petrol,1988,188082,1254
Nissan,Juke,2.0,Petrol,2016,39118,22862
Ford,Focus,1.6,Petrol,2013,71315,17653
Nissan,Murano,1.8,Diesel,1993,207670,2006
BMW,X3,2.4,Diesel,2011,107435,17821
Toyota,Matrix,1.0,Hybrid,2000,87533,6833
Nissan,Murano,2.0,Petrol,2001,85204,9219
Ford,Puma,1.4,Diesel,2008,53101,13859
Porsche,Cayenne,4.0,Diesel,1987,194694,3107
Ford,Focus,1.0,Petrol,1997,180987,2054
Ford,Puma,1.6,Hybrid,2014,4500,33343
Nissan,Juke,2.0,Petrol,2018,42228,25639
Ford,Fiesta,1.4,Petrol,2005,61091,7147
Toyota,Corolla,2.0,Petrol,2017,55534,36442
Toyota,Matrix,1.0,Hybrid,2004,188778,3988
Nissan,Murano,2.0,Diesel,2011,98347,17164
BMW,M5,4.0,Petrol,2018,29388,100657
Toyota,Matrix,1.4,Hybrid,1988,264375,819
Nissan,Murano,1.6,Diesel,2003,80788,10202
Ford,Focus,2.0,Diesel,2015,77657,22683
Ford,Fiesta,1.2,Petrol,1999,129478,2710
Toyota,Yaris,1.2,Petrol,2015,27312,19162
Nissan,Murano,1.8,Diesel,1995,181772,2876
Toyota,Yaris,1.0,Petrol,2011,100686,8296
Ford,Focus,1.0,Hybrid,2007,62980,11863
Toyota,Matrix,1.8,Hybrid,2016,31940,38109
Nissan,Murano,1.8,Diesel,1985,66971,3578
Toyota,Yaris,1.4,Hybrid,2000,230874,1911
Ford,Focus,1.8,Petrol,1993,130816,3193
Toyota,Matrix,1.0,Hybrid,1996,275752,1061
Porsche,718 Cayman,4.0,Petrol,2011,13658,46185
Toyota,Matrix,1.0,Hybrid,2015,36437,25883
Ford,Fiesta,1.2,Petrol,2007,100571,5755
Nissan,Altima,1.4,Petrol,2016,28763,24114
Toyota,Yaris,1.0,Petrol,2011,43948,12149
Nissan,Altima,1.4,Diesel,1993,223748,1229
BMW,Z4,2.0,Petrol,1992,130917,3472
Nissan,Juke,1.0,Petrol,1998,12500,5657
Ford,Focus,1.6,Diesel,2021,6611,46447
Ford,Focus,1.8,Petrol,2015,54321,23902
Toyota,Matrix,1.8,Hybrid,2006,84505,13970
Toyota,Yaris,1.0,Petrol,2014,37486,15426
Porsche,911,2.6,Petrol,1992,251063,2983
